"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102"
"County","Date","Adair","Adams","Allamakee","Appanoose","Audubon","Benton","Black Hawk","Boone","Bremer","Buchanan","Buena Vista","Butler","Calhoun","Carroll","Cass","Cedar","Cerro Gordo","Cherokee","Chickasaw","Clarke","Clay","Clayton","Clinton","Crawford","Dallas","Davis","Decatur","Delaware","Des Moines","Dickinson","Dubuque","Emmet","Fayette","Floyd","Franklin","Fremont","Greene","Grundy","Guthrie","Hamilton","Hancock","Hardin","Harrison","Henry","Howard","Humboldt","Ida","Iowa","Jackson","Jasper","Jefferson","Johnson","Jones","Keokuk","Kossuth","Lee","Linn","Louisa","Lucas","Lyon","Madison","Mahaska","Marion","Marshall","Mills","Mitchell","Monona","Monroe","Montgomery","Muscatine","O'Brien","Osceola","Out of State","Page","Palo Alto","Plymouth","Pocahontas","Polk","Pottawattamie","Poweshiek","Ringgold","Sac","Scott","Shelby","Sioux","Story","Tama","Taylor","Union","Van Buren","Wapello","Warren","Washington","Wayne","Webster","Winnebago","Winneshiek","Woodbury","Worth","Wright","Totals"
"Total.Doses.Administered","18793","4625","3502","11193","8840","4033","15132","135134","22145","24876","12325","16942","7810","8398","19825","20648","12399","50075","9353","5823","9494","16170","12597","32889","13318","85410","8062","5875","9606","35532","15035","118141","9922","20616","13313","7018","3297","9156","9386","8789","14014","6602","13342","6945","16062","4319","8284","3638","11737","15824","27704","15210","178836","12871","3243","11986","25069","241023","7853","7087","5992","13749","14963","27403","28620","10845","8726","4328","6524","6903","31413","10560","3091","10368","14132","6681","16598","3863","492258","91413","18100","4140","6544","160599","11366","22023","97803","17267","4418","9599","2957","24063","33747","14509","6300","34525","8122","16502","87352","3395","11028","2871142"
"3","18794","4681","3504","11202","8851","4046","15151","135591","22175","24940","12355","16974","7810","8399","19943","20671","12409","50149","9356","5823","9522","16177","12599","32971","13324","85635","8064","5881","9650","35579","15057","118297","9927","20623","13325","7040","3297","9171","9398","8797","14022","6603","13351","6945","16099","4319","8283","3642","11753","15878","27773","15229","179234","12884","3243","12008","25086","241643","7854","7090","5992","13759","14979","27439","28673","10846","8734","4331","6528","6907","31432","10582","3092","10368","14133","6683","16627","3863","493898","91572","18112","4151","6544","160899","11369","22051","98053","17278","4420","9614","2967","24141","33826","14518","6300","34577","8124","16544","87506","3403","11036","2877174"
"4","18795","4681","3505","11210","8856","4046","15170","135831","22204","24989","12388","16983","7810","8399","19976","20685","12417","50209","9363","5824","9530","16302","12604","33085","13342","85735","8081","5881","9670","35643","15081","118616","9938","20707","13330","7041","3310","9179","9413","8807","14026","6603","13375","6945","16110","4319","8283","3643","11757","15892","27848","15247","179504","12932","3243","12008","25153","242049","7856","7111","5992","13762","14991","27448","28712","10846","8736","4333","6537","6908","31490","10589","3097","10368","14135","6686","16659","3863","495023","91761","18122","4151","6544","161156","11382","22093","98315","17314","4422","9626","2970","24173","33894","14528","6300","34624","8129","16566","87663","3403","11080","2882136"
"5","18796","4695","3508","11222","8870","4046","15209","136118","22314","25056","12403","17037","7808","8399","20041","20707","12433","50358","9372","5859","9551","16326","12608","33206","13372","85974","8095","5887","9731","35739","15127","118831","9955","20736","13352","7041","3315","9193","9415","8835","14054","6634","13400","6947","16132","4328","8291","3643","11781","15933","27944","15279","179902","12966","3262","12030","25218","242709","7872","7124","6002","13771","15043","27489","28890","10864","8778","4371","6557","6922","31562","10609","3097","10367","14182","6693","16719","3863","496820","92058","18187","4155","6544","161795","11403","22129","98627","17333","4427","9647","2970","24295","33998","14582","6312","34676","8159","16620","87995","3403","11117","2890224"
"6","18797","4695","3508","11222","8886","4046","15247","136426","22360","25112","12435","17113","7810","8399","20076","20750","12469","50517","9397","5863","9572","16384","12634","33317","13410","86343","8105","5888","9748","35854","15163","119177","9969","20770","13397","7084","3318","9210","9416","8838","14071","6634","13418","6950","16164","4347","8304","3643","11800","15959","28011","15310","180318","12977","3270","12064","25329","243489","7889","7143","6006","13809","15078","27568","29023","11898","8780","4410","6589","6946","31675","10681","3109","10367","14221","6718","16756","3875","499534","92323","18232","4157","6544","162308","11439","22157","98836","17354","4427","9699","2970","24369","34085","14637","6320","34783","8179","16719","88293","3403","11167","2900462"
"7","18798","4702","3508","11243","8904","4046","15265","136694","22383","25173","12461","17146","7810","8401","20108","20780","12480","50614","9414","5863","9587","16398","12647","33443","13437","86589","8113","5888","9769","35927","15183","119445","9973","20799","13419","7095","3323","9236","9486","8867","14100","6650","13430","6968","16187","4347","8312","3656","11807","15995","28074","15353","180525","13000","3270","12094","25354","243937","7891","7164","6012","13837","15099","27604","29197","11910","8785","4412","6598","6958","31722","10696","3114","10367","14244","6723","16821","3877","500828","92460","18252","4174","6560","162732","11452","22192","99092","17428","4450","9721","2977","24481","34167","14690","6333","34863","8205","16740","88537","3417","11197","2906657"
"8","18799","4702","3524","11243","8910","4046","15274","136849","22404","25210","12474","17190","7810","8401","20136","20805","12490","50699","9418","5863","9603","16413","12649","33504","13474","86793","8118","5895","9780","35997","15206","119552","9975","20812","13441","7095","3323","9250","9487","8872","14111","6650","13462","6968","16203","4347","8319","3656","11807","15998","28150","15427","180785","13010","3270","12108","25408","244305","7896","7169","6012","13857","15120","27641","29258","11923","8785","4412","6608","6958","31792","10705","3114","10368","14262","6728","16833","3882","501903","92670","18270","4178","6560","163112","11460","22214","99253","17443","4450","9738","2977","24520","34191","14704","6334","34934","8213","16772","88693","3417","11197","2911197"
"9","18800","4702","3524","11243","8912","4046","15275","136951","22415","25218","12480","17207","7810","8401","20149","20819","12494","50753","9422","5863","9607","16422","12649","33535","13490","86869","8119","5895","9784","36060","15209","119590","9979","20823","13450","7095","3323","9252","9487","8872","14118","6650","13467","6968","16213","4347","8327","3656","11807","16002","28166","15443","180922","13013","3270","12112","25441","244499","7896","7169","6012","13863","15128","27663","29300","11930","8785","4412","6611","6967","31810","10708","3114","10368","14262","6728","16841","3894","502556","92764","18280","4178","6560","163299","11462","22222","99321","17443","4450","9743","2977","24546","34202","14722","6336","34978","8214","16787","88774","3417","11201","2913508"
"10","18801","4710","3524","11256","8918","4102","15282","137170","22415","25257","12507","17224","7810","8401","20165","20825","12502","50853","9427","5863","9609","16424","12649","33582","13497","86974","8124","5895","9797","36095","15218","119676","9979","20831","13461","7095","3323","9259","9507","8872","14124","6652","13469","6968","16221","4385","8336","3657","11815","16018","28205","15468","181106","13032","3270","12130","25455","244768","7900","7172","6012","13866","15148","27681","29349","11932","8790","4412","6613","6970","31854","10715","3118","10370","14264","6729","16860","3895","503377","92872","18290","4184","6560","163480","11466","22234","99426","17456","4450","9761","2977","24576","34231","14739","6337","34994","8222","16824","88896","3424","11233","2916816"
"11","18802","4710","3525","11269","8932","4102","15325","137360","22489","25311","12521","17265","7812","8401","20214","20835","12502","50932","9433","5863","9619","16442","12652","33648","13515","87174","8129","5912","9811","36157","15239","119788","9983","20845","13478","7097","3325","9267","9522","8891","14130","6652","13497","6968","16247","4387","8354","3658","11843","16036","28241","15493","181490","13048","3270","12142","25539","245153","7910","7190","6014","13872","15162","27734","29427","11950","8794","4415","6623","6979","32025","10722","3121","10370","14287","6740","16875","3899","504351","93012","18321","4185","6560","163719","11479","22259","99549","17482","4452","9784","2977","24605","34296","14762","6339","35043","8237","16846","89068","3425","11249","2921552"
"12","18803","4719","3525","11277","8940","4102","15360","137597","22580","25352","12535","17311","7813","8401","20241","20852","12528","51036","9458","5865","9647","16451","12652","33751","13525","87293","8135","5914","9816","36218","15274","119952","9996","20845","13495","7132","3325","9294","9527","8906","14186","6664","13504","6968","16268","4396","8357","3658","11855","16065","28289","15517","181709","13077","3273","12157","25651","245541","7918","7194","6023","13875","15220","27763","29504","11969","8840","4438","6629","6990","32075","10732","3121","10369","14300","6746","16903","3904","505385","93200","18373","4185","6560","164137","11490","22290","99686","17487","4454","9817","2977","24642","34320","14793","6343","35080","8247","16897","89261","3430","11287","2926629"
"13","18804","4719","3526","11281","8945","4102","15375","137847","22637","25410","12554","17341","7816","8425","20278","20872","12542","51102","9464","5888","9663","16480","12663","33855","13549","87442","8143","5922","9827","36291","15291","120119","10009","20857","13512","7151","3325","9308","9537","8908","14191","6674","13516","6968","16283","4396","8363","3658","11913","16067","28339","15543","182043","13096","3280","12197","25693","245948","7930","7198","6027","13885","15232","27800","29558","11979","8841","4441","6632","6997","32150","10762","3121","10370","14323","6754","16928","3911","506639","93366","18394","4189","6571","164382","11505","22307","99845","17511","4454","9827","2977","24682","34390","14812","6348","35142","8263","16952","89412","3431","11306","2931688"
"14","18805","4721","3526","11302","8951","4102","15387","138125","22684","25432","12573","17349","7821","8432","20331","20873","12552","51131","9477","5891","9669","16498","12668","33989","13554","87600","8144","5922","9835","36424","15292","120334","10021","20887","13518","7159","3325","9325","9555","8937","14193","6674","13528","6989","16303","4396","8363","3666","11919","16084","28390","15558","182444","13111","3280","12197","25729","246453","7931","7202","6032","13905","15235","27816","29628","11984","8855","4441","6635","7007","32218","10766","3137","10372","14328","6756","16936","3913","508503","93580","18396","4191","6571","164700","11515","22345","100043","17547","4454","9830","2977","24721","34494","14821","6350","35266","8277","16991","89601","3439","11312","2937614"
