EventDateOfDeath,Total Deaths - Rolling 14 Day Total,Total Deaths - Daily Total
2020-03-01,,0
2020-03-02,0,0
2020-03-03,0,0
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,1
2020-03-25,1,0
2020-03-26,1,1
2020-03-27,2,2
2020-03-28,4,1
2020-03-29,5,1
2020-03-30,6,1
2020-03-31,7,4
2020-04-01,11,2
2020-04-02,13,1
2020-04-03,14,5
2020-04-04,19,3
2020-04-05,22,5
2020-04-06,27,0
2020-04-07,27,2
2020-04-08,28,3
2020-04-09,31,5
2020-04-10,35,3
2020-04-11,36,4
2020-04-12,39,4
2020-04-13,42,6
2020-04-14,47,3
2020-04-15,46,6
2020-04-16,50,5
2020-04-17,54,7
2020-04-18,56,5
2020-04-19,58,8
2020-04-20,61,7
2020-04-21,68,6
2020-04-22,72,7
2020-04-23,76,11
2020-04-24,82,5
2020-04-25,84,7
2020-04-26,87,8
2020-04-27,91,9
2020-04-28,94,11
2020-04-29,102,13
2020-04-30,109,9
2020-05-01,113,11
2020-05-02,117,6
2020-05-03,118,14
2020-05-04,124,18
2020-05-05,135,10
2020-05-06,139,9
2020-05-07,141,12
2020-05-08,142,11
2020-05-09,148,13
2020-05-10,154,17
2020-05-11,163,14
2020-05-12,168,14
2020-05-13,171,13
2020-05-14,171,17
2020-05-15,179,7
2020-05-16,175,11
2020-05-17,180,11
2020-05-18,177,16
2020-05-19,175,17
2020-05-20,182,13
2020-05-21,186,11
2020-05-22,185,19
2020-05-23,193,7
2020-05-24,187,20
2020-05-25,190,10
2020-05-26,186,11
2020-05-27,183,13
2020-05-28,183,10
2020-05-29,176,12
2020-05-30,181,6
2020-05-31,176,10
2020-06-01,175,7
2020-06-02,166,12
2020-06-03,161,10
2020-06-04,158,8
2020-06-05,155,10
2020-06-06,146,8
2020-06-07,147,7
2020-06-08,134,8
2020-06-09,132,3
2020-06-10,124,8
2020-06-11,119,2
2020-06-12,111,5
2020-06-13,104,5
2020-06-14,103,5
2020-06-15,98,9
2020-06-16,100,4
2020-06-17,92,3
2020-06-18,85,2
2020-06-19,79,6
2020-06-20,75,3
2020-06-21,70,0
2020-06-22,63,2
2020-06-23,57,4
2020-06-24,58,0
2020-06-25,50,4
2020-06-26,52,8
2020-06-27,55,2
2020-06-28,52,4
2020-06-29,51,1
2020-06-30,43,1
2020-07-01,40,4
2020-07-02,41,3
2020-07-03,42,9
2020-07-04,45,1
2020-07-05,43,3
2020-07-06,46,4
2020-07-07,48,3
2020-07-08,47,4
2020-07-09,51,2
2020-07-10,49,6
2020-07-11,47,6
2020-07-12,51,5
2020-07-13,52,7
2020-07-14,58,4
2020-07-15,61,6
2020-07-16,63,5
2020-07-17,65,7
2020-07-18,63,6
2020-07-19,68,3
2020-07-20,68,9
2020-07-21,73,9
2020-07-22,79,8
2020-07-23,83,7
2020-07-24,88,6
2020-07-25,88,6
2020-07-26,88,5
2020-07-27,88,13
2020-07-28,94,8
2020-07-29,98,6
2020-07-30,98,7
2020-07-31,100,3
2020-08-01,96,6
2020-08-02,96,8
2020-08-03,101,8
2020-08-04,100,9
2020-08-05,100,7
2020-08-06,99,6
2020-08-07,98,11
2020-08-08,103,7
2020-08-09,104,6
2020-08-10,105,7
2020-08-11,99,10
2020-08-12,101,3
2020-08-13,98,13
2020-08-14,104,10
2020-08-15,111,5
2020-08-16,110,5
2020-08-17,107,9
2020-08-18,108,9
2020-08-19,108,4
2020-08-20,105,17
2020-08-21,116,11
2020-08-22,116,10
2020-08-23,119,12
2020-08-24,125,6
2020-08-25,124,11
2020-08-26,125,9
2020-08-27,131,12
2020-08-28,130,11
2020-08-29,131,12
2020-08-30,138,6
2020-08-31,139,10
2020-09-01,140,10
2020-09-02,141,5
2020-09-03,142,14
2020-09-04,139,10
2020-09-05,138,6
2020-09-06,134,8
2020-09-07,130,13
2020-09-08,137,11
2020-09-09,137,9
2020-09-10,137,10
2020-09-11,135,6
2020-09-12,130,4
2020-09-13,122,5
2020-09-14,121,8
2020-09-15,119,4
2020-09-16,113,8
2020-09-17,116,9
2020-09-18,111,6
2020-09-19,107,9
2020-09-20,110,5
2020-09-21,107,4
2020-09-22,98,6
2020-09-23,93,13
2020-09-24,97,11
2020-09-25,98,12
2020-09-26,104,12
2020-09-27,112,10
2020-09-28,117,10
2020-09-29,119,11
2020-09-30,126,12
2020-10-01,130,14
2020-10-02,135,10
2020-10-03,139,17
2020-10-04,147,9
2020-10-05,151,17
2020-10-06,164,7
2020-10-07,165,22
2020-10-08,174,16
2020-10-09,179,23
2020-10-10,190,11
2020-10-11,189,16
2020-10-12,195,18
2020-10-13,203,6
2020-10-14,198,17
2020-10-15,203,21
2020-10-16,210,21
2020-10-17,221,20
2020-10-18,224,11
2020-10-19,226,20
2020-10-20,229,27
2020-10-21,249,16
2020-10-22,243,24
2020-10-23,251,17
2020-10-24,245,14
2020-10-25,248,16
2020-10-26,248,14
2020-10-27,244,12
2020-10-28,250,21
2020-10-29,254,22
2020-10-30,255,22
2020-10-31,256,25
2020-11-01,261,33
2020-11-02,283,40
2020-11-03,303,28
2020-11-04,304,30
2020-11-05,318,54
2020-11-06,348,39
2020-11-07,370,33
2020-11-08,389,47
2020-11-09,420,36
2020-11-10,442,45
2020-11-11,475,40
2020-11-12,494,64
2020-11-13,536,37
2020-11-14,551,39
2020-11-15,565,50
2020-11-16,582,49
2020-11-17,591,60
2020-11-18,623,61
2020-11-19,654,75
2020-11-20,675,63
2020-11-21,699,61
2020-11-22,727,51
2020-11-23,731,61
2020-11-24,756,39
2020-11-25,750,64
2020-11-26,774,64
2020-11-27,774,60
2020-11-28,797,63
2020-11-29,821,54
2020-11-30,825,71
2020-12-01,847,62
2020-12-02,849,56
2020-12-03,844,59
2020-12-04,828,55
2020-12-05,820,54
2020-12-06,813,52
2020-12-07,814,49
2020-12-08,802,56
2020-12-09,819,54
2020-12-10,809,37
2020-12-11,782,44
2020-12-12,766,47
2020-12-13,750,41
2020-12-14,737,45
2020-12-15,711,34
2020-12-16,683,58
2020-12-17,685,43
2020-12-18,669,30
2020-12-19,644,43
2020-12-20,633,26
2020-12-21,607,46
2020-12-22,604,33
2020-12-23,581,33
2020-12-24,560,33
2020-12-25,556,36
2020-12-26,548,25
2020-12-27,526,35
2020-12-28,520,28
2020-12-29,503,19
2020-12-30,488,28
2020-12-31,458,23
2021-01-01,438,29
2021-01-02,437,34
2021-01-03,428,24
2021-01-04,426,24
2021-01-05,404,29
2021-01-06,400,34
2021-01-07,401,29
2021-01-08,397,34
2021-01-09,395,40
2021-01-10,410,33
2021-01-11,408,29
2021-01-12,409,25
2021-01-13,415,20
2021-01-14,407,24
2021-01-15,408,14
2021-01-16,393,25
2021-01-17,384,20
2021-01-18,380,24
2021-01-19,380,14
2021-01-20,365,16
2021-01-21,347,16
2021-01-22,334,26
2021-01-23,326,25
2021-01-24,311,20
2021-01-25,298,16
2021-01-26,285,10
2021-01-27,270,23
2021-01-28,273,22
2021-01-29,271,13
2021-01-30,270,14
2021-01-31,259,15
2021-02-01,254,12
2021-02-02,242,13
2021-02-03,241,12
2021-02-04,237,14
2021-02-05,235,13
2021-02-06,222,17
2021-02-07,214,10
2021-02-08,204,12
2021-02-09,200,6
2021-02-10,196,7
2021-02-11,180,12
2021-02-12,170,12
2021-02-13,169,13
2021-02-14,168,9
2021-02-15,162,7
2021-02-16,157,17
2021-02-17,161,8
2021-02-18,157,9
2021-02-19,152,10
2021-02-20,149,5
2021-02-21,137,10
2021-02-22,137,5
2021-02-23,130,5
2021-02-24,129,7
2021-02-25,129,10
2021-02-26,127,4
2021-02-27,119,11
2021-02-28,117,7
2021-03-01,115,8
2021-03-02,116,3
2021-03-03,102,5
2021-03-04,99,3
2021-03-05,93,10
2021-03-06,93,9
2021-03-07,97,4
2021-03-08,91,6
2021-03-09,92,5
2021-03-10,92,8
2021-03-11,93,4
2021-03-12,87,5
2021-03-13,88,8
2021-03-14,85,8
2021-03-15,86,3
2021-03-16,81,4
2021-03-17,82,7
2021-03-18,84,5
2021-03-19,86,6
2021-03-20,82,5
2021-03-21,78,2
2021-03-22,76,3
2021-03-23,73,5
2021-03-24,73,5
2021-03-25,70,7
2021-03-26,73,4
2021-03-27,72,5
2021-03-28,69,7
2021-03-29,68,1
2021-03-30,66,1
2021-03-31,63,3
2021-04-01,59,4
2021-04-02,58,2
2021-04-03,54,4
2021-04-04,53,4
2021-04-05,55,4
2021-04-06,56,4
2021-04-07,55,3
2021-04-08,53,6
2021-04-09,52,7
2021-04-10,55,5
2021-04-11,55,4
2021-04-12,52,5
2021-04-13,56,5
2021-04-14,60,4
2021-04-15,61,2
2021-04-16,59,3
2021-04-17,60,1
2021-04-18,57,4
2021-04-19,57,4
2021-04-20,57,0
2021-04-21,53,2
2021-04-22,52,9
2021-04-23,55,5
2021-04-24,53,2
2021-04-25,50,6
2021-04-26,52,3
2021-04-27,50,5
2021-04-28,50,3
2021-04-29,49,2
2021-04-30,49,2
2021-05-01,48,4
2021-05-02,51,2
2021-05-03,49,5
2021-05-04,50,3
2021-05-05,53,2
2021-05-06,53,3
2021-05-07,47,1
2021-05-08,43,2
2021-05-09,43,2
2021-05-10,39,5
2021-05-11,41,5
2021-05-12,41,6
2021-05-13,44,4
2021-05-14,46,4
2021-05-15,48,5
2021-05-16,49,4
2021-05-17,51,1
2021-05-18,47,0
2021-05-19,44,1
2021-05-20,43,3
2021-05-21,43,4
2021-05-22,46,4
2021-05-23,48,1
2021-05-24,47,2
2021-05-25,44,1
2021-05-26,40,4
2021-05-27,38,2
2021-05-28,36,2
2021-05-29,34,10
2021-05-30,39,3
2021-05-31,38,2
2021-06-01,39,0
2021-06-02,39,3
2021-06-03,41,2
2021-06-04,40,2
2021-06-05,38,3
2021-06-06,37,1
2021-06-07,37,1
2021-06-08,36,2
2021-06-09,37,0
2021-06-10,33,0
2021-06-11,31,0
2021-06-12,29,4
2021-06-13,23,1
2021-06-14,21,0
2021-06-15,19,2
2021-06-16,21,1
2021-06-17,19,2
2021-06-18,19,3
2021-06-19,20,1
2021-06-20,18,0
2021-06-21,17,1
2021-06-22,17,3
2021-06-23,18,2
2021-06-24,20,1
2021-06-25,21,0
2021-06-26,21,0
2021-06-27,17,1
2021-06-28,17,0
2021-06-29,17,0
2021-06-30,15,0
2021-07-01,14,0
2021-07-02,12,0
2021-07-03,9,0
2021-07-04,8,0
2021-07-05,8,0
