RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19145,6137,5638,499
19113,115537,107469,8068
19193,39576,35141,4435
19103,85616,80989,4627
19173,2238,2168,70
19155,35763,33699,2064
19165,5364,5146,218
19097,8171,7809,362
19181,22969,21719,1250
19121,6724,6414,310
19033,20453,18843,1610
19029,5922,5572,350
19197,5660,4767,893
19013,59736,54493,5243
19179,12896,10626,2270
19153,238438,226014,12424
19087,8141,6623,1518
19187,15698,14388,1310
19045,18334,16958,1376
19167,11319,9694,1625
19047,6770,5471,1299
19023,6693,6280,413
19001,2847,2533,314
19171,7810,7026,784
19049,45566,43283,2283
19129,5722,5450,272
19069,4180,3818,362
19015,13103,12391,712
19157,8487,8046,441
19027,9883,8891,992
19163,69445,64388,5057
19061,49668,47992,1676
19099,16509,14963,1546
19043,6820,6261,559
19127,18738,16282,2456
19169,48093,45452,2641
19183,9681,9007,674
19017,11769,10746,1023
19161,4061,3728,333
19081,4154,3710,444
19011,11402,10527,875
19085,5278,4930,348
19021,9226,6293,2933
19151,2724,2516,208
19091,3734,3386,348
19125,13281,11180,2101
19101,6793,6097,696
19109,6271,5736,535
19055,7164,6339,825
19019,8711,8118,593
19065,8398,7846,552
19067,6435,5952,483
19195,2962,2789,173
19141,5562,5059,503
19139,19321,15556,3765
19189,4336,3767,569
19077,4883,4567,316
19175,4838,4587,251
19079,7250,6590,660
19137,4221,3701,520
19007,4482,4076,406
19111,12376,10891,1485
19063,3696,3390,306
19039,3782,3089,693
19159,2015,1977,38
19037,5082,4410,672
19123,7251,6485,766
19105,9738,8736,1002
19051,2514,2361,153
19149,10178,8123,2055
19089,3618,3181,437
19147,3584,3370,214
19003,1501,1445,56
19057,14455,13636,819
19107,3694,3405,289
19135,2805,2499,306
19117,3059,2681,378
19031,8754,8099,655
19059,8000,7743,257
19095,7907,7257,650
19185,2052,1887,165
19073,3994,3490,504
19005,5192,4977,215
19075,5969,5509,460
19083,7388,6494,894
19009,2637,2489,148
19191,9959,9101,858
19041,6621,6252,369
19071,2513,2316,197
19131,4084,3896,188
19115,4259,3247,1012
19093,2597,2201,396
19035,4775,4422,353
19025,4543,4220,323
19177,2225,2032,193
19119,3395,3233,162
19133,3602,3387,215
19143,2186,1986,200
19053,2425,2202,223
,45,39,6
