RECIP_ADDRESS_COUNTY,Vaccinations Completed,2-Dose Vaccinations Completed,1-Dose Vaccinations Completed
19153,240822,228283,12539
19161,4062,3729,333
19027,9916,8923,993
19013,60016,54746,5270
19017,11831,10806,1025
19019,8749,8144,605
19195,2968,2795,173
19033,20511,18884,1627
19081,4159,3712,447
19169,48410,45755,2655
19139,19454,15670,3784
19165,5376,5158,218
19009,2637,2489,148
19191,10002,9143,859
19103,86236,81597,4639
19065,8426,7872,554
19061,49852,48158,1694
19147,3597,3378,219
19183,9717,9036,681
19193,39768,35315,4453
19003,1506,1450,56
19173,2252,2182,70
19041,6651,6277,374
19125,13331,11227,2104
19123,7280,6512,768
19157,8553,8110,443
19099,16584,15033,1551
19073,4020,3515,505
19113,116217,108097,8120
19021,9271,6322,2949
19155,36083,33993,2090
19187,15792,14473,1319
19049,45979,43682,2297
19121,6760,6445,315
19097,8200,7834,366
19163,69916,64827,5089
19181,23197,21926,1271
19095,7959,7296,663
19189,4357,3786,571
19029,5938,5588,350
19105,9761,8757,1004
19091,3753,3405,348
19127,18831,16368,2463
19149,10201,8144,2057
19035,4787,4432,355
19077,4911,4585,326
19047,6794,5491,1303
19135,2816,2506,310
19087,8189,6656,1533
19197,5671,4778,893
19057,14592,13741,851
19031,8789,8132,657
19045,18504,17123,1381
19079,7266,6605,661
19167,11352,9723,1629
19015,13186,12470,716
19083,7419,6513,906
19063,3707,3397,310
19137,4236,3716,520
19071,2519,2322,197
19011,11445,10563,882
19171,7852,7068,784
19101,6824,6124,700
19109,6279,5744,535
19055,7186,6359,827
19075,5984,5523,461
19037,5090,4416,674
19039,3810,3117,693
19005,5216,5000,216
19053,2432,2209,223
19179,12951,10654,2297
19177,2231,2036,195
19059,8023,7765,258
19143,2199,1999,200
19067,6454,5968,486
19131,4087,3899,188
19159,2023,1985,38
19115,4288,3273,1015
19093,2602,2206,396
19141,5568,5063,505
19151,2732,2524,208
19025,4564,4234,330
19069,4190,3827,363
19023,6712,6295,417
19133,3604,3388,216
19085,5298,4947,351
19111,12436,10942,1494
19051,2517,2364,153
19145,6154,5650,504
19043,6835,6275,560
19007,4507,4098,409
19107,3698,3407,291
19129,5747,5474,273
19175,4856,4604,252
19117,3066,2685,381
19089,3622,3185,437
19001,2854,2537,317
19119,3395,3233,162
19185,2053,1888,165
,45,39,6
